key,english_source,current_kannada_translation,status,reviewer_notes
employer.moderation.block_body,They won't be able to apply to your jobs again. You can unblock later.,,MISSING — needs translation,
employer.moderation.report_title,Report this worker,,MISSING — needs translation,
employer.moderation.report_body,What's the problem? Our team will review it.,,MISSING — needs translation,
employer.moderation.report_done,Reported. Thanks — our team will take a look.,,MISSING — needs translation,
employer.moderation.reason_fake,Fake profile,,MISSING — needs translation,
employer.moderation.reason_scam,Scam,,MISSING — needs translation,
employer.moderation.reason_abusive,Abusive behaviour,,MISSING — needs translation,
employer.briefing.cta,Site briefing,,MISSING — needs translation,
employer.briefing.title,Before-you-arrive briefing,,MISSING — needs translation,
employer.briefing.hint,"Instructions + photos shown to workers you hire — park behind the shop, ask for Raju, wear boots.",,MISSING — needs translation,
employer.briefing.placeholder,"e.g. Park behind the shop, ask for Raju, wear boots",,MISSING — needs translation,
employer.briefing.add_photo,Add photo ({{n}}/3),,MISSING — needs translation,
employer.briefing.save,Save briefing,,MISSING — needs translation,
employer.briefing.saving,Saving…,,MISSING — needs translation,
employer.wage_nudge.title,Your wage is below the local rate,,MISSING — needs translation,
employer.wage_nudge.body,Similar jobs near you pay around {{median}}. Yours is {{yours}} — raising it usually pulls more applicants.,,MISSING — needs translation,
employer.bulk_message.cta,Message all {{n}} shortlisted,,MISSING — needs translation,
employer.bulk_message.title,Message {{n}} shortlisted candidates,,MISSING — needs translation,
employer.bulk_message.placeholder,"e.g. Interviews tomorrow 10–12, reply to confirm.",,MISSING — needs translation,
employer.bulk_message.send,Send to all,,MISSING — needs translation,
employer.bulk_message.sending,Sending…,,MISSING — needs translation,
employer.bulk_message.sent_title,Message sent,,MISSING — needs translation,
employer.bulk_message.sent_body,Sent to {{n}} candidates.,,MISSING — needs translation,
employer.bulk_message.fail,Couldn't send. Try again.,,MISSING — needs translation,
employer.blind_review.toggle_title,Blind first-pass,,MISSING — needs translation,
employer.blind_review.toggle_hint,Hide photos & names while you shortlist on skills,,MISSING — needs translation,
employer.blind_review.candidate_n,Candidate {{n}},,MISSING — needs translation,
employer.worker_note.label,PRIVATE NOTE,,MISSING — needs translation,
employer.worker_note.placeholder,"e.g. Great with customers, bring back for weekends",,MISSING — needs translation,
employer.worker_note.private_hint,Only you can see this. Never shown to the worker.,,MISSING — needs translation,
employer.worker_note.save,Save note,,MISSING — needs translation,
employer.worker_note.saving,Saving…,,MISSING — needs translation,
employer.worker_note.saved,Saved ✓,,MISSING — needs translation,
employer.voice_post.title,Speak your job,,MISSING — needs translation,
employer.voice_post.hint,"Tap and say it — e.g. ""2 dishwashers, Friday night, ₹600""",,MISSING — needs translation,
employer.voice_post.listening,Listening… tap to stop,,MISSING — needs translation,
employer.voice_post.thinking,Got it — filling the form…,,MISSING — needs translation,
employer.voice_post.failed,Didn't catch that. Try again or type below.,,MISSING — needs translation,
employer.voice_post.mic_label,Speak the job post,,MISSING — needs translation,
employer.voice_post.note_headcount,Need {{count}} people.,,MISSING — needs translation,
employer.voice_post.note_days,Days: {{days}}.,,MISSING — needs translation,
employer.voice_post.note_start,Starts {{time}}.,,MISSING — needs translation,
employer.back,← Back,← ಹಿಂದೆ,translated,
employer.retry,Retry,ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ,translated,
employer.crew.title,My crew,,MISSING — needs translation,
employer.crew.import_cta,Import workers from contacts,,MISSING — needs translation,
employer.crew.importing,Importing…,,MISSING — needs translation,
employer.crew.remove,Remove,,MISSING — needs translation,
employer.crew.rehire,Re-hire,,MISSING — needs translation,
employer.crew.rehire_pick,Re-hire {{name}} for which job?,,MISSING — needs translation,
employer.crew.rehire_no_jobs,You have no active jobs. Post one first.,,MISSING — needs translation,
employer.crew.rehire_sent_title,Offer sent,,MISSING — needs translation,
employer.crew.rehire_sent_body,We've sent them a direct offer — they'll accept or decline.,,MISSING — needs translation,
employer.crew.rehire_fail,Couldn't send the offer. They may already be hired for that job.,,MISSING — needs translation,
employer.crew.roster_title,THIS WEEK'S ROSTER,,MISSING — needs translation,
employer.crew.roster_no_days,No days set,,MISSING — needs translation,
employer.crew.roster_unfilled,Not filled yet,,MISSING — needs translation,
employer.crew.docs_expiring_title,DOCUMENTS EXPIRING SOON,,MISSING — needs translation,
employer.crew.docs_expires,Expires {{date}},,MISSING — needs translation,
employer.crew.docs_expired,Expired {{date}},,MISSING — needs translation,
employer.crew.churn_title,DRIFTING AWAY?,,MISSING — needs translation,
employer.crew.churn_row,{{hires}} hires · quiet {{days}} days,,MISSING — needs translation,
employer.crew.churn_reach_out,Reach out,,MISSING — needs translation,
employer.crew.timesheet_title,HOURS THIS MONTH,,MISSING — needs translation,
employer.crew.timesheet_export,Export,,MISSING — needs translation,
employer.crew.timesheet_row,{{hours}} · {{days}} days,,MISSING — needs translation,
employer.crew.empty_eyebrow,BUILD YOUR CREW,,MISSING — needs translation,
employer.crew.empty_title,No crew yet,,MISSING — needs translation,
employer.crew.empty_body,Import your contacts to add workers you already know — they'll be one tap away for your next job.,,MISSING — needs translation,
employer.crew.no_contacts_title,Contacts unavailable,,MISSING — needs translation,
employer.crew.no_contacts_body,Contact import isn't available on this device.,,MISSING — needs translation,
employer.crew.permission_title,Permission needed,,MISSING — needs translation,
employer.crew.permission_body,Allow contacts access to find workers you already know.,,MISSING — needs translation,
employer.crew.import_done_title,{{n}} added to your crew,,MISSING — needs translation,
employer.crew.import_done_body,{{invite}} of your contacts aren't on Doondo yet.,,MISSING — needs translation,
employer.crew.import_fail,Couldn't import contacts. Try again.,,MISSING — needs translation,
employer.crew.invite,Invite them,,MISSING — needs translation,
employer.crew.later,Later,,MISSING — needs translation,
employer.crew.invite_message,I'm hiring on Doondo — join and I'll add you to my crew: https://doondo.app,,MISSING — needs translation,
employer.needs_now.title,NEEDS YOU NOW,,MISSING — needs translation,
employer.needs_now.on_the_way_one,{{name}} is on the way,,MISSING — needs translation,
employer.needs_now.on_the_way_many,{{n}} workers are on the way,,MISSING — needs translation,
employer.needs_now.counter_one,{{name}} countered your offer,,MISSING — needs translation,
employer.needs_now.counter_many,{{n}} workers countered your offer,,MISSING — needs translation,
employer.needs_now.proof_one,1 work photo waiting for your review,,MISSING — needs translation,
employer.needs_now.proof_many,{{n}} work photos waiting for your review,,MISSING — needs translation,
employer.needs_now.waiting_one,{{name}} has been waiting over a day,,MISSING — needs translation,
employer.needs_now.waiting_many,{{n}} applicants have waited over a day,,MISSING — needs translation,
employer.needs_now.doc_one,{{sample}} document expiring,,MISSING — needs translation,
employer.needs_now.doc_many,{{n}} crew documents expiring soon,,MISSING — needs translation,
employer.project.title,Project progress,,MISSING — needs translation,
employer.project.day_of,Day {{day}} of {{total}},,MISSING — needs translation,
employer.project.range,{{start}} → {{end}},,MISSING — needs translation,
employer.project.remaining,{{n}} days left,,MISSING — needs translation,
employer.project.complete,Project complete,,MISSING — needs translation,
employer.project.days_attended,{{done}}/{{total}} days,,MISSING — needs translation,
employer.statement.cta,Monthly statement (PDF),,MISSING — needs translation,
employer.statement.generating,Preparing…,,MISSING — needs translation,
employer.statement.pdf_title,Monthly statement,,MISSING — needs translation,
employer.statement.pdf_footer,Generated by Doondo. Hours are from on-site check-ins; pay is settled UPI payments for the month.,,MISSING — needs translation,
employer.statement.share_title,Share monthly statement,,MISSING — needs translation,
employer.statement.col_worker,Worker,,MISSING — needs translation,
employer.statement.col_days,Days,,MISSING — needs translation,
employer.statement.col_shifts,Shifts,,MISSING — needs translation,
employer.statement.col_hours,Hours,,MISSING — needs translation,
employer.statement.col_paid,Paid,,MISSING — needs translation,
employer.statement.total,Total · {{n}} workers,,MISSING — needs translation,
employer.statement.empty_title,Nothing to report,,MISSING — needs translation,
employer.statement.empty_body,No worked hours or settled payments this month yet.,,MISSING — needs translation,
employer.statement.fail,Couldn't generate the statement. Try again.,,MISSING — needs translation,
employer.squad.title,SQUADS,,MISSING — needs translation,
employer.squad.new,+ New squad,,MISSING — needs translation,
employer.squad.none,No squads yet. Group workers you hire together for one-tap deploys.,,MISSING — needs translation,
employer.squad.member_count,{{n}} members,,MISSING — needs translation,
employer.squad.deploy,Deploy to job,,MISSING — needs translation,
employer.squad.delete,Delete,,MISSING — needs translation,
employer.squad.deploy_pick,"Send ""{{name}}"" to which job?",,MISSING — needs translation,
employer.squad.deploy_done_title,Squad deployed,,MISSING — needs translation,
employer.squad.deploy_done_body,Offers sent to {{sent}} members. {{failed}} couldn't be offered.,,MISSING — needs translation,
employer.squad.deploy_fail,Couldn't deploy the squad. Try again.,,MISSING — needs translation,
employer.squad.builder_title,New squad,,MISSING — needs translation,
employer.squad.name_placeholder,Squad name (e.g. Morning kitchen crew),,MISSING — needs translation,
employer.squad.save,Save squad ({{n}}),,MISSING — needs translation,
employer.squad.saving,Saving…,,MISSING — needs translation,
employer.squad.save_fail,Couldn't save the squad. The name may already be taken.,,MISSING — needs translation,
employer.workforce.eyebrow,WORKFORCE,ಕಾರ್ಯಬಲ,translated,
employer.workforce.title,Your team.,ನಿಮ್ಮ ತಂಡ.,translated,
employer.workforce.coming_soon_eyebrow,COMING SOON,ಶೀಘ್ರದಲ್ಲೇ ಬರಲಿದೆ,translated,
employer.workforce.coming_soon_body,"Phase 4 brings active hires, attendance, and recurring worker management to this tab.","Phase 4 ರಲ್ಲಿ ಸಕ್ರಿಯ ನೇಮಕಾತಿಗಳು, ಹಾಜರಾತಿ ಮತ್ತು ಪುನರಾವರ್ತಿತ ಕಾರ್ಮಿಕರ ನಿರ್ವಹಣೆ ಈ ಟ್ಯಾಬ್‌ಗೆ ಬರುತ್ತದೆ.",translated,
employer.applicant_card.reel_pill,Reel,,MISSING — needs translation,
employer.applicant_card.for_job,for {{title}},{{title}}ಗಾಗಿ,translated,
employer.applicant_card.anon,Anonymous,ಅನಾಮಿಕ,translated,
employer.applicant_card.verified,Verified,ಪರಿಶೀಲಿತ,translated,
employer.applicant_card.team_of,Team of {{n}},{{n}} ತಂಡ,translated,
employer.applicant_card.time_just_now,just now,ಇದೀಗ,translated,
employer.applicant_card.time_minutes_ago,{{n}}m ago,{{n}} ನಿಮಿಷಗಳ ಹಿಂದೆ,translated,
employer.applicant_card.time_hours_ago,{{n}}h ago,{{n}} ಗಂಟೆಗಳ ಹಿಂದೆ,translated,
employer.applicant_card.time_days_ago,{{n}}d ago,{{n}} ದಿನಗಳ ಹಿಂದೆ,translated,
employer.applicant_card.status_pending,New,ಹೊಸ,translated,
employer.applicant_card.status_viewed,Viewed,ನೋಡಲಾಗಿದೆ,translated,
employer.applicant_card.status_shortlisted,Shortlisted,ಶಾರ್ಟ್‌ಲಿಸ್ಟ್,translated,
employer.applicant_card.status_rejected,Rejected,ತಿರಸ್ಕರಿಸಲಾಗಿದೆ,translated,
employer.applicant_card.status_hired,Hired,ನೇಮಕಗೊಂಡಿದೆ,translated,
employer.applicant_card.status_withdrawn,Withdrawn,ಹಿಂಪಡೆಯಲಾಗಿದೆ,translated,
employer.applicant_card.fallback_name,Applicant,ಅರ್ಜಿದಾರ,translated,
employer.applicants.eyebrow,APPLICANTS,ಅರ್ಜಿದಾರರು,translated,
employer.applicants.title,People who want this.,ಬೇಕು ಎಂದು ಬಯಸಿದವರು.,translated,
employer.applicants.per_job_title,Applicants,ಅರ್ಜಿದಾರರು,translated,
employer.applicants.per_job_total,{{n}} total,ಒಟ್ಟು {{n}},translated,
employer.applicants.fill,{{hired}} of {{headcount}} hired,,MISSING — needs translation,
employer.applicants.filter_all,All,ಎಲ್ಲ,translated,
employer.applicants.filter_pending,New,ಹೊಸ,translated,
employer.applicants.filter_viewed,Viewed,ನೋಡಿದ,translated,
employer.applicants.filter_shortlisted,Shortlisted,ಶಾರ್ಟ್‌ಲಿಸ್ಟ್,translated,
employer.applicants.filter_hired,Hired,ನೇಮಕ,translated,
employer.applicants.offline_eyebrow,OFFLINE,ಆಫ್‌ಲೈನ್,translated,
employer.applicants.offline_title,Couldn't load applicants,ಅರ್ಜಿದಾರರನ್ನು ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ,translated,
employer.applicants.offline_message,"Pull down to retry, or check your connection.","ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಲು ಕೆಳಗೆ ಎಳೆಯಿರಿ, ಅಥವಾ ನಿಮ್ಮ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ.",translated,
employer.applicants.empty_waiting_eyebrow,WAITING ROOM,ಕಾಯುವ ಕೋಣೆ,translated,
employer.applicants.empty_no_applicants_title,No applicants yet,ಇನ್ನೂ ಯಾವುದೇ ಅರ್ಜಿದಾರರಿಲ್ಲ,translated,
employer.applicants.empty_no_applicants_message,"Once someone applies to one of your jobs, they'll show up here.","ಯಾರಾದರೂ ನಿಮ್ಮ ಕೆಲಸಗಳಲ್ಲಿ ಒಂದಕ್ಕೆ ಅರ್ಜಿ ಸಲ್ಲಿಸಿದರೆ, ಅವರು ಇಲ್ಲಿ ಕಾಣಿಸುತ್ತಾರೆ.",translated,
employer.applicants.empty_no_applicants_per_job,"When someone applies, you'll see them here. Verified candidates show a champagne ring around their avatar.","ಯಾರಾದರೂ ಅರ್ಜಿ ಸಲ್ಲಿಸಿದಾಗ, ನೀವು ಅವರನ್ನು ಇಲ್ಲಿ ನೋಡುತ್ತೀರಿ. ಪರಿಶೀಲಿತ ಅಭ್ಯರ್ಥಿಗಳು ತಮ್ಮ ಅವತಾರದ ಸುತ್ತಲೂ ಶ್ಯಾಂಪೇನ್ ರಿಂಗ್ ಅನ್ನು ತೋರಿಸುತ್ತಾರೆ.",translated,
employer.applicants.empty_filter_eyebrow,EMPTY FILTER,ಖಾಲಿ ಫಿಲ್ಟರ್,translated,
employer.applicants.empty_filter_title,"No applicants in ""{{filter}}""","""{{filter}}""ನಲ್ಲಿ ಯಾವುದೇ ಅರ್ಜಿದಾರರಿಲ್ಲ",translated,
employer.applicants.empty_filter_message,"Try a different filter, or wait for new applications.","ಬೇರೆ ಫಿಲ್ಟರ್ ಪ್ರಯತ್ನಿಸಿ, ಅಥವಾ ಹೊಸ ಅರ್ಜಿಗಳಿಗಾಗಿ ಕಾಯಿರಿ.",translated,
employer.applicants.available_now_title,Workers available right now,ಕಾರ್ಮಿಕರು ಈಗ ಲಭ್ಯವಿದ್ದಾರೆ,translated,
employer.applicants.available_now_subtitle,"Workers nearby broadcasting ""available now"" — tap to view","ಹತ್ತಿರದ ಕಾರ್ಮಿಕರು ""ಈಗ ಲಭ್ಯ"" ಎಂದು ಪ್ರಸಾರ ಮಾಡುತ್ತಿದ್ದಾರೆ — ನೋಡಲು ಟ್ಯಾಪ್ ಮಾಡಿ",translated,
employer.applicants.available_off_title,Available workers,ಲಭ್ಯ ಕಾರ್ಮಿಕರು,translated,
employer.applicants.available_off_subtitle,"When workers are broadcasting nearby, they show up here","ಹತ್ತಿರ ಕಾರ್ಮಿಕರು ಪ್ರಸಾರ ಮಾಡುತ್ತಿರುವಾಗ, ಅವರು ಇಲ್ಲಿ ಕಾಣಿಸುತ್ತಾರೆ",translated,
employer.applicants.available_now_a11y,See workers available right now,ಈಗ ಲಭ್ಯವಿರುವ ಕಾರ್ಮಿಕರನ್ನು ನೋಡಿ,translated,
employer.upi.title,💸 Pay via UPI,💸 UPI ಮೂಲಕ ಪಾವತಿಸಿ,translated,
employer.upi.receipt_share,Share receipt,,MISSING — needs translation,
employer.upi.receipt_sharing,Preparing…,,MISSING — needs translation,
employer.upi.receipt_fail,Couldn't load the receipt. Try again.,,MISSING — needs translation,
employer.upi.receipt_heading,DOONDO PAYMENT RECEIPT,,MISSING — needs translation,
employer.upi.receipt_no,Receipt no,,MISSING — needs translation,
employer.upi.receipt_date,Date,,MISSING — needs translation,
employer.upi.receipt_from,From,,MISSING — needs translation,
employer.upi.receipt_to,To,,MISSING — needs translation,
employer.upi.receipt_amount,Amount,,MISSING — needs translation,
employer.upi.receipt_method,Method,,MISSING — needs translation,
employer.upi.amount_placeholder,Amount,ಮೊತ್ತ,translated,
employer.upi.cta_open,Open UPI app,UPI ಆಪ್ ತೆರೆಯಿರಿ,translated,
employer.upi.no_upi_title,No UPI app found,UPI ಆಪ್ ಕಂಡುಬಂದಿಲ್ಲ,translated,
employer.upi.no_upi_body,Pay {{amount}} to {{vpa}} with reference {{ref}}.,{{vpa}}ಗೆ {{amount}} ಅನ್ನು ರೆಫರೆನ್ಸ್ {{ref}} ಜೊತೆ ಪಾವತಿಸಿ.,translated,
employer.upi.could_not_create,Could not create payment,ಪಾವತಿ ರಚಿಸಲಾಗಲಿಲ್ಲ,translated,
employer.upi.ref_label,Ref {{ref}} · {{vpa}},ರೆಫ್ {{ref}} · {{vpa}},translated,
employer.upi.cta_paid,✓ I paid,✓ ನಾನು ಪಾವತಿಸಿದ್ದೇನೆ,translated,
employer.upi.cta_cancel,Cancel,ರದ್ದು,translated,
employer.upi.enter_amount,Enter an amount,ಮೊತ್ತ ನಮೂದಿಸಿ,translated,
employer.upi.marked_paid_title,Marked paid,ಪಾವತಿಯಾಗಿದೆ ಎಂದು ಗುರುತಿಸಲಾಗಿದೆ,translated,
employer.upi.marked_paid_body,The worker's earnings have been updated.,ಕಾರ್ಮಿಕರ ಗಳಿಕೆ ಅಪ್ಡೇಟ್ ಆಗಿದೆ.,translated,
employer.posts.eyebrow,POSTS,ಪೋಸ್ಟ್‌ಗಳು,translated,
employer.posts.title,Your jobs.,ನಿಮ್ಮ ಕೆಲಸಗಳು.,translated,
employer.posts.subtitle_one,{{n}} total · pull down to refresh,ಒಟ್ಟು {{n}} · ರಿಫ್ರೆಶ್ ಮಾಡಲು ಕೆಳಗೆ ಎಳೆಯಿರಿ,translated,
employer.posts.subtitle_other,{{n}} total · pull down to refresh,ಒಟ್ಟು {{n}} · ರಿಫ್ರೆಶ್ ಮಾಡಲು ಕೆಳಗೆ ಎಳೆಯಿರಿ,translated,
employer.posts.subtitle_empty,Post a job to start hiring,ನೇಮಕಾತಿ ಆರಂಭಿಸಲು ಒಂದು ಕೆಲಸ ಪೋಸ್ಟ್ ಮಾಡಿ,translated,
employer.posts.subtitle_manage,Manage and track your job posts,ನಿಮ್ಮ ಕೆಲಸದ ಪೋಸ್ಟ್‌ಗಳನ್ನು ನಿರ್ವಹಿಸಿ ಮತ್ತು ಟ್ರ್ಯಾಕ್ ಮಾಡಿ,translated,
employer.posts.count_one,{{n}} Job,{{n}} ಕೆಲಸ,translated,
employer.posts.count_other,{{n}} Jobs,{{n}} ಕೆಲಸಗಳು,translated,
employer.posts.view_applicants,View applicants,ಅರ್ಜಿದಾರರನ್ನು ನೋಡಿ,translated,
employer.posts.tip_title,Tip,ಸಲಹೆ,translated,
employer.posts.tip_body,Keep your jobs updated to attract the best talent.,ಅತ್ಯುತ್ತಮ ಪ್ರತಿಭೆಯನ್ನು ಆಕರ್ಷಿಸಲು ನಿಮ್ಮ ಕೆಲಸಗಳನ್ನು ಅಪ್‌ಡೇಟ್ ಆಗಿ ಇರಿಸಿ.,translated,
employer.posts.cta_new,+ New,+ ಹೊಸ,translated,
employer.posts.cta_post,Post a job,ಕೆಲಸ ಪೋಸ್ಟ್ ಮಾಡಿ,translated,
employer.posts.offline_eyebrow,OFFLINE,ಆಫ್‌ಲೈನ್,translated,
employer.posts.offline_title,Couldn't load your posts,ನಿಮ್ಮ ಪೋಸ್ಟ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ,translated,
employer.posts.offline_message,"Pull down to retry, or check your connection.","ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಲು ಕೆಳಗೆ ಎಳೆಯಿರಿ, ಅಥವಾ ನಿಮ್ಮ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ.",translated,
employer.posts.empty_eyebrow,NO POSTS YET,ಇನ್ನೂ ಯಾವುದೇ ಪೋಸ್ಟ್‌ಗಳಿಲ್ಲ,translated,
employer.posts.empty_title,Post your first job,ನಿಮ್ಮ ಮೊದಲ ಕೆಲಸ ಪೋಸ್ಟ್ ಮಾಡಿ,translated,
employer.posts.empty_message,Tap the button below and be hiring in under a minute.,ಕೆಳಗಿನ ಬಟನ್ ಒತ್ತಿ ಮತ್ತು ಒಂದು ನಿಮಿಷದೊಳಗೆ ನೇಮಕಾತಿ ಆರಂಭಿಸಿ.,translated,
employer.posts.section_open,Open,ತೆರೆದ,translated,
employer.posts.section_closed,Closed,ಮುಚ್ಚಲಾಗಿದೆ,translated,
employer.posts.applicants_one,{{n}} applicant,{{n}} ಅರ್ಜಿದಾರ,translated,
employer.posts.applicants_other,{{n}} applicants,{{n}} ಅರ್ಜಿದಾರರು,translated,
employer.posts.action_pause,Pause,ವಿರಾಮ,translated,
employer.posts.action_reopen,Reopen,ಮತ್ತೆ ತೆರೆಯಿರಿ,translated,
employer.posts.action_close,Close,ಮುಚ್ಚಿ,translated,
employer.posts.action_repost,Re-post,,MISSING — needs translation,
employer.posts.status_active,Active,ಸಕ್ರಿಯ,translated,
employer.posts.status_paused,Paused,ವಿರಾಮಿತ,translated,
employer.posts.status_filled,Filled,ಭರ್ತಿಯಾಗಿದೆ,translated,
employer.posts.status_expired,Closed,ಮುಚ್ಚಲಾಗಿದೆ,translated,
employer.posts.escalation_boosted,⬆ Boosted,,MISSING — needs translation,
employer.posts.escalation_attention,Needs attention,,MISSING — needs translation,
employer.posts.type_full_time,Full-time,ಪೂರ್ಣಕಾಲ,translated,
employer.posts.type_part_time,Part-time,ಅರ್ಧಕಾಲ,translated,
employer.posts.type_gig,Gig,ಗಿಗ್,translated,
employer.posts.type_shift,Shift,ಶಿಫ್ಟ್,translated,
employer.posts.type_contract,Contract,ಒಪ್ಪಂದ,translated,
employer.available_workers.header_title,Available right now,ಈಗ ಲಭ್ಯ,translated,
employer.available_workers.header_subtitle,Workers who broadcast their availability within ~15 km. Tap to call — they've opted in to be reached.,~15 ಕಿಮೀಯೊಳಗೆ ತಮ್ಮ ಲಭ್ಯತೆಯನ್ನು ಪ್ರಸಾರ ಮಾಡುತ್ತಿರುವ ಕಾರ್ಮಿಕರು. ಕರೆ ಮಾಡಲು ಟ್ಯಾಪ್ ಮಾಡಿ — ಅವರು ಸಂಪರ್ಕಿಸಲು ಒಪ್ಪಿಗೆ ನೀಡಿದ್ದಾರೆ.,translated,
employer.available_workers.error_title,Couldn't load,ಲೋಡ್ ಮಾಡಲಾಗಲಿಲ್ಲ,translated,
employer.available_workers.error_message,Check your connection and try again.,ನಿಮ್ಮ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,translated,
employer.available_workers.retry,Retry,ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ,translated,
employer.available_workers.empty_eyebrow,NOBODY BROADCASTING,ಯಾರೂ ಪ್ರಸಾರ ಮಾಡುತ್ತಿಲ್ಲ,translated,
employer.available_workers.empty_title,No workers available right now,ಈಗ ಯಾವುದೇ ಕಾರ್ಮಿಕರು ಲಭ್ಯವಿಲ್ಲ,translated,
employer.available_workers.empty_message,"When a worker raises their availability beacon nearby, they'll show up here. Pull to refresh.","ಹತ್ತಿರದಲ್ಲಿ ಕಾರ್ಮಿಕರು ತಮ್ಮ ಲಭ್ಯತೆ ಬೀಕನ್ ಎತ್ತಿದಾಗ, ಅವರು ಇಲ್ಲಿ ಕಾಣಿಸುತ್ತಾರೆ. ರಿಫ್ರೆಶ್ ಮಾಡಲು ಎಳೆಯಿರಿ.",translated,
employer.available_workers.meters_short,{{n}}m,{{n}}ಮೀ,translated,
employer.available_workers.kilometers_short,{{n}}km,{{n}}ಕಿಮೀ,translated,
employer.available_workers.drive,🚗 {{n}} min,,MISSING — needs translation,
employer.available_workers.drive_est,🚗 ~{{n}} min,,MISSING — needs translation,
employer.available_workers.minutes_left,{{n}}m left,{{n}}ಮಿ ಬಾಕಿ,translated,
employer.available_workers.expiring,expiring,ಮುಕ್ತಾಯವಾಗುತ್ತಿದೆ,translated,
employer.available_workers.wants_wage,Wants ₹{{amount}}/{{period}},,MISSING — needs translation,
employer.available_workers.period_hour,hr,,MISSING — needs translation,
employer.available_workers.period_day,day,,MISSING — needs translation,
employer.available_workers.period_week,wk,,MISSING — needs translation,
employer.available_workers.period_month,mo,,MISSING — needs translation,
employer.available_workers.period_fixed,fixed,,MISSING — needs translation,
employer.available_workers.call_a11y,Call {{name}},{{name}}ಗೆ ಕರೆ ಮಾಡಿ,translated,
employer.available_workers.call_now,📞 Call now,📞 ಈಗ ಕರೆ ಮಾಡಿ,translated,
employer.available_workers.opening_dialer,Opening dialer…,ಡಯಲರ್ ತೆರೆಯಲಾಗುತ್ತಿದೆ…,translated,
employer.available_workers.no_phone_title,Couldn't call,ಕರೆ ಮಾಡಲಾಗಲಿಲ್ಲ,translated,
employer.available_workers.no_phone_body,This worker hasn't added a phone number to their profile.,ಈ ಕಾರ್ಮಿಕರು ತಮ್ಮ ಪ್ರೊಫೈಲ್‌ಗೆ ಫೋನ್ ನಂಬರ್ ಸೇರಿಸಿಲ್ಲ.,translated,
employer.available_workers.no_dialer_title,Couldn't open dialer,ಡಯಲರ್ ತೆರೆಯಲಾಗಲಿಲ್ಲ,translated,
employer.available_workers.no_dialer_body,Your phone's dialer isn't available. The number is {{phone}},ನಿಮ್ಮ ಫೋನ್‌ನ ಡಯಲರ್ ಲಭ್ಯವಿಲ್ಲ. ನಂಬರ್ {{phone}},translated,
employer.available_workers.not_available_title,Not available,ಲಭ್ಯವಿಲ್ಲ,translated,
employer.available_workers.not_available_default,Couldn't reveal contact.,ಸಂಪರ್ಕವನ್ನು ಬಹಿರಂಗಪಡಿಸಲಾಗಲಿಲ್ಲ.,translated,
employer.available_workers.location_default,Showing a default area — turn on location (or set your city in your profile) to find workers near you.,,MISSING — needs translation,
employer.profile.switch_a11y,Switch account,ಖಾತೆ ಬದಲಾಯಿಸಿ,translated,
employer.profile.eyebrow,EMPLOYER,ಉದ್ಯೋಗದಾತ,translated,
employer.profile.favorited_by,♥ {{n}} workers favourited you,,MISSING — needs translation,
employer.profile.photo_updating,Updating photo…,ಫೋಟೋ ಅಪ್ಡೇಟ್ ಆಗುತ್ತಿದೆ…,translated,
employer.profile.photo_change,Change photo,ಫೋಟೋ ಬದಲಾಯಿಸಿ,translated,
employer.profile.photo_add,Add photo,ಫೋಟೋ ಸೇರಿಸಿ,translated,
employer.profile.photo_failed,Failed to update photo,ಫೋಟೋ ಅಪ್ಡೇಟ್ ಮಾಡಲಾಗಲಿಲ್ಲ,translated,
employer.profile.completion_eyebrow,BUSINESS PROFILE,ವ್ಯವಹಾರ ಪ್ರೊಫೈಲ್,translated,
employer.profile.completion_incomplete,Complete your profile so seekers trust your posts.,ಸೀಕರ್‌ಗಳು ನಿಮ್ಮ ಪೋಸ್ಟ್‌ಗಳನ್ನು ನಂಬುವಂತೆ ನಿಮ್ಮ ಪ್ರೊಫೈಲ್ ಪೂರ್ಣಗೊಳಿಸಿ.,translated,
employer.profile.completion_complete,Your business profile is complete.,ನಿಮ್ಮ ವ್ಯವಹಾರ ಪ್ರೊಫೈಲ್ ಪೂರ್ಣವಾಗಿದೆ.,translated,
employer.profile.section_business,BUSINESS,ವ್ಯವಹಾರ,translated,
employer.profile.section_compliance,COMPLIANCE,ಅನುಸರಣೆ,translated,
employer.profile.section_location,LOCATION,ಸ್ಥಳ,translated,
employer.profile.edit,Edit,ಸಂಪಾದಿಸಿ,translated,
employer.profile.business_empty_title,Add your business name,ನಿಮ್ಮ ವ್ಯವಹಾರ ಹೆಸರನ್ನು ಸೇರಿಸಿ,translated,
