key,english_source,current_tamil_translation,status,reviewer_notes
auth.login.err_invalid_credentials,Email or password is incorrect.,ஈமெயில் அல்லது கடவுச்சொல் தவறு.,translated,
auth.login.err_rate_limited,Too many sign-in attempts. Try again in a minute.,அதிக உள்நுழைவு முயற்சிகள். ஒரு நிமிடம் கழித்து முயற்சிக்கவும்.,translated,
auth.login.err_generic,Something went wrong. Please try again.,ஏதோ தவறு. மீண்டும் முயற்சிக்கவும்.,translated,
auth.login.role_picker_eyebrow,"ONE EMAIL, TWO ACCOUNTS",,MISSING — needs translation,
auth.login.role_picker_title,Which account?,,MISSING — needs translation,
auth.login.role_picker_subtitle,You have both a job seeker and an employer account on this email. Pick which one you want to sign in to.,,MISSING — needs translation,
auth.login.role_picker_option_seeker,Job seeker,,MISSING — needs translation,
auth.login.role_picker_option_seeker_subtitle,"Find work, apply to jobs, build your profile",,MISSING — needs translation,
auth.login.role_picker_option_employer,Employer,,MISSING — needs translation,
auth.login.role_picker_option_employer_subtitle,"Post jobs, review applicants, hire workers",,MISSING — needs translation,
auth.login.role_picker_cancel,Back,,MISSING — needs translation,
auth.forgot.eyebrow,RESET PASSWORD,கடவுச்சொல் மீட்டமை,translated,
auth.forgot.title,Enter your phone,உங்கள் தொலைபேசியை உள்ளிடவும்,translated,
auth.forgot.subtitle,We'll text a 6-digit code to the number on your account.,உங்கள் கணக்கின் எண்ணுக்கு 6-இலக்க குறியீட்டை SMS அனுப்புவோம்.,translated,
auth.forgot.phone_label,Phone,தொலைபேசி,translated,
auth.forgot.phone_placeholder,+91 9876543210,+91 9876543210,translated,
auth.forgot.cta_send,Send code,குறியீடு அனுப்பு,translated,
auth.forgot.cta_sending,Sending code…,அனுப்புகிறது…,translated,
auth.forgot.cta_back,Back to sign in,உள்நுழைவுக்கு திரும்பு,translated,
auth.forgot.err_phone_required,Phone number is required,தொலைபேசி தேவை,translated,
auth.forgot.err_phone_invalid,Enter a valid phone number,சரியான தொலைபேசி எண்ணை உள்ளிடவும்,translated,
auth.forgot.err_rate_limited,Too many reset requests. Try again in a minute.,அதிக மீட்டமை கோரிக்கைகள். ஒரு நிமிடம் கழித்து முயற்சிக்கவும்.,translated,
auth.forgot.err_generic,Something went wrong. Please try again.,ஏதோ தவறு. மீண்டும் முயற்சிக்கவும்.,translated,
auth.forgot_code.eyebrow,RESET PASSWORD,கடவுச்சொல் மீட்டமை,translated,
auth.forgot_code.title,Enter the code,குறியீட்டை உள்ளிடவும்,translated,
auth.forgot_code.subtitle,We sent a 6-digit code to {{phone}}. It expires in 10 minutes.,{{phone}}க்கு 6-இலக்க குறியீட்டை அனுப்பினோம். இது 10 நிமிடங்களில் காலாவதியாகும்.,translated,
auth.forgot_code.code_label,6-digit code,6-இலக்க குறியீடு,translated,
auth.forgot_code.code_placeholder,123456,123456,translated,
auth.forgot_code.cta_verify,Verify code,குறியீட்டை சரிபார்,translated,
auth.forgot_code.cta_verifying,Verifying…,சரிபார்க்கிறது…,translated,
auth.forgot_code.cta_resend,Resend code,குறியீட்டை மீண்டும் அனுப்பு,translated,
auth.forgot_code.cta_resending,Sending…,அனுப்புகிறது…,translated,
auth.forgot_code.cta_different_number,Use a different number,வேறு எண் பயன்படுத்து,translated,
auth.forgot_code.err_code_invalid,Enter the 6-digit code,6-இலக்க குறியீட்டை உள்ளிடவும்,translated,
auth.forgot_code.err_code_wrong,That code is incorrect. Try again.,அந்த குறியீடு தவறு. மீண்டும் முயற்சிக்கவும்.,translated,
auth.forgot_code.err_code_expired,This code has expired. Request a new one.,இந்த குறியீடு காலாவதியானது. புதியதை கோருங்கள்.,translated,
auth.forgot_code.err_code_too_many,Too many wrong attempts. Request a new code.,அதிக தவறான முயற்சிகள். புதிய குறியீட்டை கோருங்கள்.,translated,
auth.forgot_code.err_code_not_found,No active code for this number. Request a new one.,இந்த எண்ணுக்கு செயலில் உள்ள குறியீடு இல்லை. புதியதை கோருங்கள்.,translated,
auth.forgot_code.err_rate_limited,Too many attempts. Try again in a minute.,அதிக முயற்சிகள். ஒரு நிமிடம் கழித்து முயற்சிக்கவும்.,translated,
auth.forgot_code.err_resend_rate,Slow down — wait a minute before requesting another code.,மெதுவாக — மற்றொரு குறியீட்டை கோரும் முன் ஒரு நிமிடம் காத்திருக்கவும்.,translated,
auth.forgot_code.err_resend_generic,Could not resend the code. Try again in a moment.,குறியீட்டை மீண்டும் அனுப்ப முடியவில்லை. சிறிது நேரம் கழித்து முயற்சிக்கவும்.,translated,
auth.forgot_code.err_generic,Something went wrong. Please try again.,ஏதோ தவறு. மீண்டும் முயற்சிக்கவும்.,translated,
auth.reset.eyebrow,RESET PASSWORD,கடவுச்சொல் மீட்டமை,translated,
auth.reset.title,Set a new password,புதிய கடவுச்சொல்லை அமை,translated,
auth.reset.subtitle,Pick something you'll remember. We'll sign you out everywhere else when you save.,நீங்கள் நினைவில் வைக்கக்கூடியதை தேர்வு செய்யுங்கள். சேமிக்கும் போது மற்ற எல்லா இடங்களிலிருந்தும் உங்களை வெளியேற்றுவோம்.,translated,
auth.reset.password_label,New password,புதிய கடவுச்சொல்,translated,
auth.reset.password_placeholder,"8+ chars, mix letters and numbers","8+ எழுத்துகள், எழுத்து மற்றும் எண் கலந்து",translated,
auth.reset.confirm_label,Confirm new password,புதிய கடவுச்சொல்லை உறுதிப்படுத்து,translated,
auth.reset.confirm_placeholder,Type it again,மீண்டும் தட்டச்சு செய்,translated,
auth.reset.cta_save,Save new password,புதிய கடவுச்சொல்லை சேமி,translated,
auth.reset.cta_saving,Saving…,சேமிக்கிறது…,translated,
auth.reset.cta_start_over,Start over,மீண்டும் தொடங்கு,translated,
auth.reset.done_eyebrow,ALL SET,அனைத்தும் தயார்,translated,
auth.reset.done_title,Password updated,கடவுச்சொல் புதுப்பிக்கப்பட்டது,translated,
auth.reset.done_body,Sign in with your new password to continue. We've signed you out of every other device for safety.,தொடர புதிய கடவுச்சொல்லை பயன்படுத்தி உள்நுழைய. பாதுகாப்பிற்காக மற்ற எல்லா சாதனங்களிலிருந்தும் உங்களை வெளியேற்றினோம்.,translated,
auth.reset.done_cta,Back to sign in,உள்நுழைவுக்கு திரும்பு,translated,
auth.reset.err_choose,Choose a password,கடவுச்சொல் தேர்வு செய்,translated,
auth.reset.err_too_short,At least 8 characters,குறைந்தது 8 எழுத்துகள்,translated,
auth.reset.err_mix,Mix letters and numbers,எழுத்து மற்றும் எண் கலந்து,translated,
auth.reset.err_no_match,Passwords don't match,கடவுச்சொற்கள் பொருந்தவில்லை,translated,
auth.reset.err_token_expired,This reset code expired. Start over to get a new one.,இந்த மீட்டமை குறியீடு காலாவதியானது. புதிய ஒன்றை பெற மீண்டும் தொடங்கு.,translated,
auth.reset.err_token_invalid,This reset link is no longer valid. Start over.,இந்த மீட்டமை இணைப்பு செல்லாது. மீண்டும் தொடங்கு.,translated,
auth.reset.err_generic,Something went wrong. Please try again.,ஏதோ தவறு. மீண்டும் முயற்சிக்கவும்.,translated,
auth.signup.eyebrow,CREATE ACCOUNT,கணக்கை உருவாக்கு,translated,
auth.signup.title,Join Doondo,டூண்டோவில் சேருங்கள்,translated,
auth.signup.role_label,I want to,நான் விரும்புகிறேன்,translated,
auth.signup.role_seeker,Find work,வேலை கண்டறி,translated,
auth.signup.role_seeker_helper,I'm looking for a job,நான் வேலை தேடுகிறேன்,translated,
auth.signup.role_employer,Hire workers,தொழிலாளர்களை வேலைக்கு எடு,translated,
auth.signup.role_employer_helper,I'm posting jobs,நான் வேலை இடுகிறேன்,translated,
auth.signup.worktype_label,I am applying as,நான் இவ்வாறு விண்ணப்பிக்கிறேன்,translated,
auth.signup.worktype_solo,Solo,தனியாக,translated,
auth.signup.worktype_solo_helper,One person applying,ஒரு நபர் விண்ணப்பிக்கிறார்,translated,
auth.signup.worktype_team,Team,குழு,translated,
auth.signup.worktype_team_helper,Applying with a crew,குழுவுடன் விண்ணப்பிக்கிறோம்,translated,
auth.signup.team_size_label,Team size,குழு அளவு,translated,
auth.signup.team_size_placeholder,2,2,translated,
auth.signup.team_size_helper,How many people are applying together?,எத்தனை பேர் சேர்ந்து விண்ணப்பிக்கிறீர்கள்?,translated,
auth.signup.name_label,Name,பெயர்,translated,
auth.signup.name_label_worker,Worker's name,தொழிலாளியின் பெயர்,translated,
auth.signup.name_placeholder_seeker,Your full name,உங்கள் முழுப் பெயர்,translated,
auth.signup.name_placeholder_employer,Your business name,உங்கள் வணிகத்தின் பெயர்,translated,
auth.signup.name_placeholder_worker,The worker's full name,தொழிலாளியின் முழுப் பெயர்,translated,
auth.signup.name_helper_assisted,Not your name — the person who will use this account.,உங்கள் பெயர் அல்ல — இந்த கணக்கை பயன்படுத்தும் நபர்.,translated,
auth.signup.email_label,Email,ஈமெயில்,translated,
auth.signup.email_placeholder,you@example.com,you@example.com,translated,
auth.signup.email_placeholder_worker,"Worker's email, if any","தொழிலாளியின் ஈமெயில், இருந்தால்",translated,
auth.signup.email_helper_assisted,"If they don't have one, use yours — you can change it later.",அவர்களிடம் இல்லை என்றால் உங்களுடையதை பயன்படுத்துங்கள் — பின்னர் மாற்றலாம்.,translated,
auth.signup.password_label,Password,கடவுச்சொல்,translated,
auth.signup.password_placeholder,"8+ chars, mix letters and numbers","8+ எழுத்துகள், எழுத்து மற்றும் எண் கலந்து",translated,
auth.signup.password_helper_assisted,Share this with the worker so they can sign in on any phone.,எந்த தொலைபேசியிலும் உள்நுழைய தொழிலாளியுடன் பகிர்ந்து கொள்ளுங்கள்.,translated,
auth.signup.phone_label,Phone,தொலைபேசி,translated,
auth.signup.phone_label_worker,Worker's phone,தொழிலாளியின் தொலைபேசி,translated,
auth.signup.phone_placeholder,+91 9876543210,+91 9876543210,translated,
auth.signup.phone_helper,Used to reset your password if you forget it.,கடவுச்சொல் மறந்தால் மீட்டமைக்க பயன்படுகிறது.,translated,
auth.signup.phone_helper_worker,The worker's number — employers will call here.,தொழிலாளியின் எண் — தொழில்தந்தைகள் இங்கே அழைப்பார்கள்.,translated,
auth.signup.cta_create,Create account,கணக்கை உருவாக்கு,translated,
auth.signup.cta_creating,Creating account…,கணக்கை உருவாக்குகிறோம்…,translated,
auth.signup.have_account,Already have an account?,ஏற்கனவே கணக்கு உள்ளதா?,translated,
auth.signup.sign_in,Sign in,உள்நுழை,translated,
auth.signup.assisted_title,Setting this up for someone else?,வேறொருவருக்காக அமைக்கிறீர்களா?,translated,
auth.signup.assisted_body,Common for family members helping a worker who can't use the app alone.,தனியாக ஆப் பயன்படுத்த முடியாத தொழிலாளர்களுக்கு குடும்ப உறுப்பினர்கள் உதவுவது வழக்கம்.,translated,
auth.signup.assisted_a11y,Setting this up for someone else,வேறொருவருக்காக அமைக்கிறீர்களா,translated,
auth.signup.assisted_banner,"Enter the worker's name, phone and email below — not yours. Job alerts and employer calls will go to the phone you enter. Share the password with them so they can sign in.","கீழே தொழிலாளியின் பெயர், தொலைபேசி மற்றும் ஈமெயில் உள்ளிடுங்கள் — உங்களுடையது அல்ல. வேலை எச்சரிக்கைகள் மற்றும் தொழில்தந்தை அழைப்புகள் நீங்கள் உள்ளிடும் தொலைபேசிக்கு செல்லும். உள்நுழைய அவர்களிடம் கடவுச்சொல்லை பகிர்ந்து கொள்ளுங்கள்.",translated,
auth.signup.err_name_seeker,Your name helps employers recognize you,உங்கள் பெயர் தொழில்தந்தைகள் உங்களை அடையாளம் காண உதவுகிறது,translated,
auth.signup.err_name_employer,Your business name helps workers recognize you,உங்கள் வணிகப் பெயர் தொழிலாளர்கள் உங்களை அடையாளம் காண உதவுகிறது,translated,
auth.signup.err_email_required,Email is required,ஈமெயில் தேவை,translated,
auth.signup.err_password_required,Choose a password,கடவுச்சொல் தேர்வு செய்,translated,
auth.signup.err_password_short,At least 8 characters,குறைந்தது 8 எழுத்துகள்,translated,
auth.signup.err_password_mix,Mix letters and numbers,எழுத்து மற்றும் எண் கலந்து,translated,
auth.signup.err_phone_required,We'll use this to reset your password if you forget it,கடவுச்சொல் மறந்தால் மீட்டமைக்க இதை பயன்படுத்துவோம்,translated,
auth.signup.err_phone_invalid,Enter a valid phone number,சரியான தொலைபேசி எண் உள்ளிடவும்,translated,
auth.signup.err_team_min,Team size must be at least 2,குழு அளவு குறைந்தது 2 இருக்க வேண்டும்,translated,
auth.signup.err_team_max,Keep team size to 50 or fewer,குழு அளவை 50 அல்லது குறைவாக வைத்திருங்கள்,translated,
auth.signup.err_email_taken,An account with this email already exists,இந்த ஈமெயிலுடன் கணக்கு ஏற்கனவே உள்ளது,translated,
auth.signup.err_rate_limited,Too many attempts. Try again in a minute.,அதிக முயற்சிகள். ஒரு நிமிடம் கழித்து முயற்சிக்கவும்.,translated,
auth.signup.err_generic,Something went wrong. Please try again.,ஏதோ தவறு. மீண்டும் முயற்சிக்கவும்.,translated,
auth.add_account_signup.eyebrow_employer,ADD EMPLOYER ACCOUNT,தொழில்தந்தை கணக்கை சேர்,translated,
auth.add_account_signup.eyebrow_default,ADD ACCOUNT,கணக்கை சேர்,translated,
auth.add_account_signup.title_employer,Start hiring on Doondo,டூண்டோவில் வேலைக்கு எடுக்க தொடங்குங்கள்,translated,
auth.add_account_signup.title_default,Add another account,மற்றொரு கணக்கை சேர்,translated,
auth.add_account_signup.subtitle_seeker,Your seeker account stays signed in — you can switch back any time from your profile.,உங்கள் சீக்கர் கணக்கு உள்நுழைந்திருக்கும் — உங்கள் சுயவிவரத்திலிருந்து எப்போது வேண்டுமானாலும் திரும்பி மாறலாம்.,translated,
auth.add_account_signup.subtitle_default,Your current account stays signed in — you can switch back any time from your profile.,உங்கள் தற்போதைய கணக்கு உள்நுழைந்திருக்கும் — சுயவிவரத்திலிருந்து எப்போது வேண்டுமானாலும் திரும்பி மாறலாம்.,translated,
auth.add_account_signup.banner_title,You're creating an Employer account,நீங்கள் ஒரு தொழில்தந்தை கணக்கை உருவாக்குகிறீர்கள்,translated,
auth.add_account_signup.banner_body,"Post jobs, review applicants, and chat with workers.","வேலைகளை இடுங்கள், விண்ணப்பதாரர்களை மதிப்பாய்வு செய்யுங்கள் மற்றும் தொழிலாளர்களுடன் அரட்டையடியுங்கள்.",translated,
auth.add_account_signup.name_label_employer,Business name,வணிகப் பெயர்,translated,
auth.add_account_signup.name_label_default,Name,பெயர்,translated,
auth.add_account_signup.name_placeholder_employer,Your business or company name,உங்கள் வணிகம் அல்லது நிறுவனத்தின் பெயர்,translated,
auth.add_account_signup.name_placeholder_default,Your full name,உங்கள் முழுப் பெயர்,translated,
auth.add_account_signup.name_helper_employer,This is what workers will see on your job posts.,உங்கள் வேலை இடுகைகளில் தொழிலாளர்கள் இதை பார்ப்பார்கள்.,translated,
auth.add_account_signup.email_label,Email,ஈமெயில்,translated,
auth.add_account_signup.email_placeholder,employer@example.com,employer@example.com,translated,
auth.add_account_signup.email_helper,We've prefilled the email and phone from your current account — you can keep them as-is or use different ones.,உங்கள் தற்போதைய கணக்கின் ஈமெயிலிலிருந்து வேறுபட்டதாக இருக்க வேண்டும்.,translated,
auth.add_account_signup.password_label,Password,கடவுச்சொல்,translated,
auth.add_account_signup.password_placeholder,"8+ chars, mix letters and numbers","8+ எழுத்துகள், எழுத்து மற்றும் எண் கலந்து",translated,
auth.add_account_signup.phone_label,Phone,தொலைபேசி,translated,
auth.add_account_signup.phone_placeholder,+91 9876543210,+91 9876543210,translated,
auth.add_account_signup.phone_helper,Used to reset your password if you forget it.,கடவுச்சொல் மறந்தால் மீட்டமைக்க பயன்படுகிறது.,translated,
auth.add_account_signup.cta_create_employer,Create employer account,தொழில்தந்தை கணக்கை உருவாக்கு,translated,
auth.add_account_signup.cta_create_default,Create account,கணக்கை உருவாக்கு,translated,
auth.add_account_signup.cta_creating,Creating account…,கணக்கை உருவாக்குகிறோம்…,translated,
auth.add_account_signup.cta_cancel,Cancel,ரத்து,translated,
auth.add_account_signup.err_name_employer,Your business name helps workers recognize you,வணிகப் பெயர் தொழிலாளர்கள் அடையாளம் காண உதவுகிறது,translated,
auth.add_account_signup.err_name_default,Your name helps employers recognize you,உங்கள் பெயர் தொழில்தந்தைகள் அடையாளம் காண உதவுகிறது,translated,
auth.add_account_signup.err_email_required,Email is required,ஈமெயில் தேவை,translated,
auth.add_account_signup.err_password_required,Choose a password,கடவுச்சொல் தேர்வு செய்,translated,
auth.add_account_signup.err_password_short,At least 8 characters,குறைந்தது 8 எழுத்துகள்,translated,
auth.add_account_signup.err_password_mix,Mix letters and numbers,எழுத்து மற்றும் எண் கலந்து,translated,
auth.add_account_signup.err_phone_required,We'll use this to reset your password if you forget it,கடவுச்சொல் மறந்தால் மீட்டமைக்க இதை பயன்படுத்துவோம்,translated,
auth.add_account_signup.err_phone_invalid,Enter a valid phone number,சரியான தொலைபேசி எண் உள்ளிடவும்,translated,
auth.add_account_signup.err_email_taken,You already have an employer account on this email. Switch to it from your profile instead.,இந்த ஈமெயிலுடன் கணக்கு ஏற்கனவே உள்ளது — இந்த தொழில்தந்தை கணக்கிற்கு வேறு ஈமெயில் பயன்படுத்தவும்,translated,
auth.add_account_signup.err_rate_limited,Too many attempts. Try again in a minute.,அதிக முயற்சிகள். ஒரு நிமிடம் கழித்து முயற்சிக்கவும்.,translated,
auth.add_account_signup.err_generic,Something went wrong. Please try again.,ஏதோ தவறு. மீண்டும் முயற்சிக்கவும்.,translated,
auth.add_account_signup.login_eyebrow,SIGN IN TO ANOTHER ACCOUNT,மற்றொரு கணக்கில் உள்நுழையவும்,translated,
auth.add_account_signup.login_title,Sign in to add an account,கணக்கைச் சேர்க்க உள்நுழையவும்,translated,
auth.add_account_signup.login_subtitle,Sign in to an account you already have. It's added next to this one — both stay signed in.,உங்களிடம் ஏற்கனவே உள்ள கணக்கில் உள்நுழையவும். அது இந்தக் கணக்குடன் சேர்க்கப்படும் — இரண்டும் உள்நுழைந்தே இருக்கும்.,translated,
auth.add_account_signup.cta_signin,Sign in & add account,உள்நுழைந்து கணக்கைச் சேர்,translated,
auth.add_account_signup.cta_signing_in,Signing in…,உள்நுழைகிறது…,translated,
auth.add_account_signup.have_account_q,Already have an account?,ஏற்கனவே கணக்கு உள்ளதா?,translated,
auth.add_account_signup.have_account_cta,Sign in,உள்நுழையவும்,translated,
auth.add_account_signup.no_account_q,Need a new account?,புதிய கணக்கு வேண்டுமா?,translated,
auth.add_account_signup.no_account_cta,Create one,ஒன்றை உருவாக்கு,translated,
auth.add_account_signup.err_invalid_credentials,Email or password is incorrect,மின்னஞ்சல் அல்லது கடவுச்சொல் தவறானது,translated,
auth.add_account_signup.cta_forgot,Forgot password?,,MISSING — needs translation,
auth.add_account_signup.recovery_eyebrow,ACCOUNT ALREADY EXISTS,,MISSING — needs translation,
auth.add_account_signup.recovery_title_employer,You already have an employer account,,MISSING — needs translation,
auth.add_account_signup.recovery_title_default,You already have an account,,MISSING — needs translation,
auth.add_account_signup.recovery_subtitle,There's already an account on {{email}}. Pick how you'd like to continue.,,MISSING — needs translation,
auth.add_account_signup.recovery_card_title,Two ways to get back in,,MISSING — needs translation,
auth.add_account_signup.recovery_card_body,"If you remember the password, sign in to add the account to this device. If not, reset it — we'll text a code to the phone on file.",,MISSING — needs translation,
auth.add_account_signup.recovery_signin_employer,Sign in to my employer account,,MISSING — needs translation,
auth.add_account_signup.recovery_signin_default,Sign in to that account,,MISSING — needs translation,
auth.add_account_signup.recovery_forgot,Forgot password? Reset it,,MISSING — needs translation,
auth.add_account_signup.recovery_back,Use a different email,,MISSING — needs translation,
role_picker.eyebrow,"LESS WHO HIRED THEM?, MORE WHO FOUND THEM? 😌",யார் வேலைக்கு எடுத்தார்கள்? என்பதை விட யார் கண்டுபிடித்தார்கள்? 😌,translated,
role_picker.title,Choose your side.,உங்கள் பக்கத்தை தேர்வு செய்.,translated,
role_picker.subtitle,One clean start for finding work or building a team nearby.,அருகில் வேலை கண்டறிய அல்லது குழுவை உருவாக்க ஒரு சுத்தமான தொடக்கம்.,translated,
role_picker.sign_in,Sign in,உள்நுழை,translated,
role_picker.seeker_badge,FOR JOB SEEKERS,வேலை தேடுபவர்களுக்காக,translated,
role_picker.seeker_body,"Discover local jobs that match your skills, schedule, and lifestyle.","உங்கள் திறமைகள், அட்டவணை மற்றும் வாழ்க்கை முறைக்கு பொருந்தும் உள்ளூர் வேலைகளை கண்டறியுங்கள்.",translated,
role_picker.seeker_headline,Find work near you.,அருகில் வேலை கண்டறியுங்கள்.,translated,
role_picker.seeker_cta,I'm looking for work,நான் வேலை தேடுகிறேன்,translated,
role_picker.seeker_subtext,Find jobs near you,அருகிலுள்ள வேலைகளை கண்டறியுங்கள்,translated,
role_picker.employer_badge,FOR EMPLOYERS,தொழில்தந்தைகளுக்காக,translated,
role_picker.employer_body,Find reliable people nearby and hire faster without the usual friction.,அருகிலுள்ள நம்பகமான மக்களை கண்டறிந்து வழக்கமான தடைகள் இல்லாமல் வேகமாக வேலைக்கு எடுங்கள்.,translated,
role_picker.employer_headline,Find people to hire.,வேலைக்கு எடுக்க மக்களை கண்டறியுங்கள்.,translated,
role_picker.employer_cta,I'm hiring,நான் ஆட்களை வேலைக்கு எடுக்கிறேன்,translated,
role_picker.employer_subtext,Find skilled people nearby,அருகிலுள்ள திறமையான மக்களை கண்டறியுங்கள்,translated,
role_picker.how_eyebrow,HOW IT WORKS,இது எப்படி வேலை செய்கிறது,translated,
role_picker.how_step1_title,Choose your side,உங்கள் பக்கத்தை தேர்வு செய்,translated,
role_picker.how_step1_body,Job seeker or employer.,வேலை தேடுபவர் அல்லது தொழில்தந்தை.,translated,
role_picker.how_step2_title,Set your area,உங்கள் பகுதியை அமை,translated,
role_picker.how_step2_body,Find work or hires nearby.,அருகில் வேலை அல்லது வேலைக்கு எடுத்தல்.,translated,
role_picker.how_step3_title,Match in hours,மணிநேரத்தில் பொருத்தம்,translated,
role_picker.how_step3_body,"Real people, real fast.","உண்மையான மக்கள், உண்மையான வேகமாக.",translated,
role_picker.push_all_set,You're all set — notifications are on.,நீங்கள் தயார் — அறிவிப்புகள் ஆன் ஆகியுள்ளன.,translated,
role_picker.push_dev_build,Notifications need a development build (Phase 5).,அறிவிப்புகளுக்கு டெவெலப்மென்ட் பில்ட் தேவை (Phase 5).,translated,
role_picker.push_granted,Notifications are on. We will let you know when there is news.,அறிவிப்புகள் ஆன் ஆகியுள்ளன. செய்தி இருக்கும்போது தெரிவிப்போம்.,translated,
role_picker.push_denied,Notifications are off. Enable from Settings if you change your mind.,அறிவிப்புகள் ஆஃப் ஆகியுள்ளன. மனம் மாறினால் அமைப்புகளிலிருந்து இயக்கவும்.,translated,
role_picker.sheet_eyebrow,FIND WORK,வேலை கண்டறி,translated,
role_picker.sheet_title,Solo or as a team?,தனியாக அல்லது குழுவாக?,translated,
role_picker.sheet_subtitle,Pick how you'll be applying. You can change this later.,நீங்கள் எப்படி விண்ணப்பிப்பீர்கள் என்று தேர்வு செய்யுங்கள். பின்னர் மாற்றலாம்.,translated,
role_picker.sheet_solo,Solo,தனியாக,translated,
role_picker.sheet_solo_sub,Just me,நான் மட்டும்,translated,
role_picker.sheet_team,Team,குழு,translated,
role_picker.sheet_team_sub,A small group,சிறு குழு,translated,
role_picker.sheet_team_label,HOW MANY MEMBERS?,எத்தனை உறுப்பினர்கள்?,translated,
role_picker.sheet_team_more,Need more than 20? Pick the closest — you can refine the exact number on the next screen.,20-க்கு மேல் வேண்டுமா? அருகில் உள்ளதை தேர்வு செய்யுங்கள் — அடுத்த திரையில் சரியான எண்ணை உள்ளிடலாம்.,translated,
role_picker.sheet_cancel,Cancel,ரத்து,translated,
role_picker.sheet_continue,Continue,தொடரு,translated,
role_picker.footer_tagline,We all had an 'ex'. Now hire better,நம் அனைவருக்கும் ஒரு 'எக்ஸ்' இருந்தது. இப்போது சிறப்பாக வேலைக்கு எடு,translated,
role_picker.footer_meta,Bengaluru 🇮🇳  ·  est. 2025  ·  v{{version}},பெங்களூரு 🇮🇳  ·  est. 2025  ·  v{{version}},translated,
role_picker.footer_terms,Terms,விதிமுறைகள்,translated,
role_picker.footer_privacy,Privacy,தனியுரிமை,translated,
role_picker.footer_support,Support,ஆதரவு,translated,
role_picker.ticker_live,LIVE,நேரடி,translated,
employer.trusted_workers.heading,Rated highly by other employers near you,,MISSING — needs translation,
employer.trusted_workers.rated_by,★{{avg}} · rated by {{n}} local employers,,MISSING — needs translation,
employer.trusted_workers.call,Call,,MISSING — needs translation,
employer.past_applicants.heading,{{n}} applied to you before — free nearby now,,MISSING — needs translation,
employer.past_applicants.applied_for,Applied for {{title}},,MISSING — needs translation,
employer.past_applicants.applied_before,Applied to you before,,MISSING — needs translation,
employer.past_applicants.call,Call,,MISSING — needs translation,
employer.work_proof.label,WORK PHOTO,,MISSING — needs translation,
employer.work_proof.awaiting,Waiting for the worker to send a photo of the finished job.,,MISSING — needs translation,
employer.work_proof.approve,Approve,,MISSING — needs translation,
employer.work_proof.reject,Reject,,MISSING — needs translation,
employer.work_proof.approved,Approved ✓,,MISSING — needs translation,
employer.work_proof.rejected,Rejected — worker can resubmit,,MISSING — needs translation,
employer.offer.label,OFFER,,MISSING — needs translation,
employer.offer.pending,Offer sent — {{when}},,MISSING — needs translation,
employer.offer.accepted,Offer accepted ✓,,MISSING — needs translation,
employer.offer.declined,Candidate declined,,MISSING — needs translation,
employer.offer.expired,Offer expired — no reply,,MISSING — needs translation,
employer.offer.countered,Worker counter-offered ₹{{wage}},,MISSING — needs translation,
employer.offer.accept_counter,Accept ₹{{wage}},,MISSING — needs translation,
employer.offer.decline_counter,Decline,,MISSING — needs translation,
employer.offer.make_24h,Offer · 24h,,MISSING — needs translation,
employer.offer.make_48h,Offer · 48h,,MISSING — needs translation,
employer.arrival.label,WILL THEY SHOW UP?,,MISSING — needs translation,
employer.arrival.band_high,Likely,,MISSING — needs translation,
employer.arrival.band_medium,Maybe,,MISSING — needs translation,
employer.arrival.band_low,Risky,,MISSING — needs translation,
employer.arrival.score,Arrival score {{score}}/100,,MISSING — needs translation,
employer.skill_check.label,SKILL CHECK,,MISSING — needs translation,
employer.skill_check.passed,Passed the skill check,,MISSING — needs translation,
employer.skill_check.not_passed,Hasn't passed yet,,MISSING — needs translation,
employer.response_settings.title,Quiet hours,,MISSING — needs translation,
employer.response_settings.hint,We won't flag you for slow replies during these hours,,MISSING — needs translation,
employer.response_settings.sms_title,SMS new-applicant alerts,,MISSING — needs translation,
employer.response_settings.sms_hint,Get a text when someone applies — even with the app closed,,MISSING — needs translation,
employer.response_settings.from,FROM,,MISSING — needs translation,
employer.response_settings.to,TO,,MISSING — needs translation,
employer.response_settings.auto_reply_label,Auto-reply (optional),,MISSING — needs translation,
employer.response_settings.auto_reply_ph,e.g. Thanks! I'll reply in the morning.,,MISSING — needs translation,
employer.response_settings.save,Save,,MISSING — needs translation,
employer.response_settings.saving,Saving…,,MISSING — needs translation,
employer.labor_budget.label,LABOR BUDGET,,MISSING — needs translation,
employer.labor_budget.spent_of,{{spent}} of {{cap}} this {{period}},,MISSING — needs translation,
employer.labor_budget.spent_this_month,Paid out this month: {{spent}},,MISSING — needs translation,
employer.labor_budget.remaining,{{remaining}} left,,MISSING — needs translation,
employer.labor_budget.over,Over budget — heads up,,MISSING — needs translation,
employer.labor_budget.period_week,Week,,MISSING — needs translation,
employer.labor_budget.period_month,Month,,MISSING — needs translation,
employer.labor_budget.amount_label,Budget amount (₹),,MISSING — needs translation,
employer.labor_budget.set,Set a budget,,MISSING — needs translation,
employer.labor_budget.edit,Edit budget,,MISSING — needs translation,
employer.labor_budget.save,Save,,MISSING — needs translation,
employer.labor_budget.saving,Saving…,,MISSING — needs translation,
employer.labor_budget.cancel,Cancel,,MISSING — needs translation,
employer.shift_schedule.label,NEXT SHIFT,,MISSING — needs translation,
